Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.79,0,0.165986244,0.165986244,0.163736312,0.165986244,0.163736312,0,0,0,0,7.302333288,164.9577013,183.9350905,5105914000
21.8,0,0.165982709,0.165982709,0.163734772,0.165982709,0.163734772,0,0,0,0,7.301335657,164.9479416,183.9302866,5108257000
21.81,0,0.165979169,0.165979169,0.163733224,0.165979169,0.163733224,0,0,0,0,7.300338092,164.9381751,183.9254783,5110600000
21.82,0,0.165975641,0.165975641,0.163731686,0.165975641,0.163731686,0,0,0,0,7.299341618,164.9284217,183.9206741,5112943000
21.83,0,0.165972115,0.165972115,0.163730147,0.165972115,0.163730147,0,0,0,0,7.298345245,164.9186747,183.9158729,5115287000
21.84,0,0.165968586,0.165968586,0.163728602,0.165968586,0.163728602,0,0,0,0,7.297349414,164.908941,183.9110773,5117630000
21.85,0,0.165965066,0.165965066,0.163727065,0.165965066,0.163727065,0,0,0,0,7.296353793,164.8991999,183.9062766,5119973000
21.86,0,0.16596156,0.16596156,0.163725538,0.16596156,0.163725538,0,0,0,0,7.295359091,164.8894684,183.9014784,5122316000
21.87,0,0.16595804,0.16595804,0.163723995,0.16595804,0.163723995,0,0,0,0,7.29436455,164.8797536,183.8966887,5124660000
21.88,0,0.165954531,0.165954531,0.163722459,0.165954531,0.163722459,0,0,0,0,7.29337058,164.8700399,183.8918976,5127003000
21.89,0,0.165951036,0.165951036,0.163720936,0.165951036,0.163720936,0,0,0,0,7.292377088,164.8603438,183.8871146,5129346000
21.9,0,0.165947535,0.165947535,0.163719403,0.165947535,0.163719403,0,0,0,0,7.291383827,164.8506233,183.8823167,5131689000
21.91,0,0.165944035,0.165944035,0.16371787,0.165944035,0.16371787,0,0,0,0,7.290391115,164.8409219,183.8775276,5134032000
21.92,0,0.16594054,0.16594054,0.163716338,0.16594054,0.163716338,0,0,0,0,7.289398873,164.8312381,183.8727467,5136376000
21.93,0,0.165937069,0.165937069,0.163714828,0.165937069,0.163714828,0,0,0,0,7.288407221,164.8215518,183.8679621,5138719000
21.94,0,0.16593358,0.16593358,0.163713298,0.16593358,0.163713298,0,0,0,0,7.287415681,164.8118702,183.8631793,5141062000
21.95,0,0.165930103,0.165930103,0.163711776,0.165930103,0.163711776,0,0,0,0,7.286424647,164.8022017,183.8584019,5143406000
21.96,0,0.165926622,0.165926622,0.163710249,0.165926622,0.163710249,0,0,0,0,7.285434162,164.792529,183.85362,5145748000
21.97,0,0.165923163,0.165923163,0.16370874,0.165923163,0.16370874,0,0,0,0,7.28444423,164.7828765,183.8488475,5148092000
21.98,0,0.165919686,0.165919686,0.163707212,0.165919686,0.163707212,0,0,0,0,7.283454316,164.7732269,183.8440757,5150435000
21.99,0,0.165916235,0.165916235,0.163705705,0.165916235,0.163705705,0,0,0,0,7.28246504,164.7635862,183.8393066,5152778000
22,0,0.165912784,0.165912784,0.163704197,0.165912784,0.163704197,0,0,0,0,7.281476197,164.753937,183.8345309,5155122000
22.01,0,0.165909328,0.165909328,0.163702682,0.165909328,0.163702682,0,0,0,0,7.280487426,164.7442952,183.8297584,5157465000
22.02,0,0.165905876,0.165905876,0.163701167,0.165905876,0.163701167,0,0,0,0,7.27949924,164.7346669,183.8249911,5159808000
22.03,0,0.165902434,0.165902434,0.163699661,0.165902434,0.163699661,0,0,0,0,7.278511585,164.725025,183.820214,5162151000
22.04,0,0.165898988,0.165898988,0.163698147,0.165898988,0.163698147,0,0,0,0,7.277524382,164.715423,183.8154575,5164495000
22.05,0,0.165895556,0.165895556,0.163696646,0.165895556,0.163696646,0,0,0,0,7.276537226,164.7058062,183.8106916,5166838000
22.06,0,0.165892124,0.165892124,0.163695141,0.165892124,0.163695141,0,0,0,0,7.275551077,164.6962123,183.8059351,5169181000
22.07,0,0.165888697,0.165888697,0.163693639,0.165888697,0.163693639,0,0,0,0,7.274564555,164.6865979,183.8011672,5171524000
22.08,0,0.165885264,0.165885264,0.163692128,0.165885264,0.163692128,0,0,0,0,7.27357898,164.6770195,183.7964162,5173868000
22.09,0,0.165881852,0.165881852,0.163690637,0.165881852,0.163690637,0,0,0,0,7.272593368,164.667433,183.7916599,5176211000
22.1,0,0.165878433,0.165878433,0.163689135,0.165878433,0.163689135,0,0,0,0,7.271608311,164.6578343,183.7868942,5178554000
22.11,0,0.16587502,0.16587502,0.163687637,0.16587502,0.163687637,0,0,0,0,7.270623735,164.6482713,183.7821465,5180897000
22.12,0,0.165871607,0.165871607,0.163686137,0.165871607,0.163686137,0,0,0,0,7.269639159,164.6386988,183.7773925,5183241000
22.13,0,0.165868211,0.165868211,0.16368465,0.165868211,0.16368465,0,0,0,0,7.268655583,164.6291432,183.7726444,5185584000
22.14,0,0.165864806,0.165864806,0.163683152,0.165864806,0.163683152,0,0,0,0,7.267671598,164.6195663,183.7678843,5187927000
22.15,0,0.165861404,0.165861404,0.163681656,0.165861404,0.163681656,0,0,0,0,7.266688532,164.6100286,183.7631429,5190270000
22.16,0,0.165858024,0.165858024,0.163680178,0.165858024,0.163680178,0,0,0,0,7.265705909,164.6005069,183.7584084,5192613000
22.17,0,0.165854629,0.165854629,0.163678683,0.165854629,0.163678683,0,0,0,0,7.264723245,164.5909558,183.7536562,5194957000
22.18,0,0.165851245,0.165851245,0.163677197,0.165851245,0.163677197,0,0,0,0,7.263740733,164.5814108,183.748906,5197300000
22.19,0,0.165847878,0.165847878,0.163675724,0.165847878,0.163675724,0,0,0,0,7.262759093,164.5719033,183.7441737,5199643000
22.2,0,0.16584449,0.16584449,0.163674229,0.16584449,0.163674229,0,0,0,0,7.261777461,164.5623589,183.7394193,5201987000
22.21,0,0.165841116,0.165841116,0.163672745,0.165841116,0.163672745,0,0,0,0,7.260796269,164.5528531,183.7346845,5204329000
22.22,0,0.165837746,0.165837746,0.163671263,0.165837746,0.163671263,0,0,0,0,7.259815537,164.5433428,183.7299446,5206672000
22.23,0,0.16583439,0.16583439,0.163669791,0.16583439,0.163669791,0,0,0,0,7.258834851,164.5338377,183.7252065,5209016000
22.24,0,0.165831024,0.165831024,0.163668308,0.165831024,0.163668308,0,0,0,0,7.257854596,164.5243461,183.7204736,5211359000
22.25,0,0.165827674,0.165827674,0.163666838,0.165827674,0.163666838,0,0,0,0,7.256874782,164.5148678,183.7157459,5213703000
