0,2017.987272
0,2017.99551712743
0.01,2018.0120095011
0.02,2018.03675123884
0.03,2018.06974445752
0.04,2018.11099127299
0.05,2018.16049380012
0.06,2018.21825415281
0.07,2018.28427447908
0.08,2018.35855689084
0.09,2018.441103499
0.1,2018.53191641346
0.11,2018.63099777831
0.12,2018.73834970146
0.13,2018.85397428982
0.14,2018.9778736251
0.15,2019.1100498034
0.16,2019.25050491916
0.17,2019.39924110045
0.18,2019.55626043846
0.19,2019.72156505801
0.2,2019.89515704703
0.21,2020.07703852709
0.22,2020.26721158284
0.23,2020.46567833259
0.24,2020.67244085772
0.25,2020.88750127323
0.26,2021.11086169251
0.27,2021.342524192
0.28,2021.58249088177
0.29,2021.83076387027
0.3,2022.08734526427
0.31,2022.3522371336
0.32,2022.62544158172
0.33,2022.90696071045
0.34,2023.19679661993
0.35,2023.49495140866
0.36,2023.80142717346
0.37,2024.11622600949
0.38,2024.43935001021
0.39,2024.77080126745
0.4,2025.11058187134
0.41,2025.45869391031
0.42,2025.81513947114
0.43,2026.17992063892
0.44,2026.55303949703
0.45,2026.93449812717
0.46,2027.32429860935
0.47,2027.72244302189
0.48,2028.12893347684
0.49,2028.54377204913
0.5,2028.96696081195
0.51,2029.39850183683
0.52,2029.83839722902
0.53,2030.28664905661
0.54,2030.74325938598
0.55,2031.20823031729
0.56,2031.68156391346
0.57,2032.16326227123
0.58,2032.6533274501
0.59,2033.15176154336
0.6,2033.65856660705
0.61,2034.17374473103
0.62,2034.69729796785
0.63,2035.22922840393
0.64,2035.76953808835
0.65,2036.31822910405
0.66,2036.87530353222
0.67,2037.44076341671
0.68,2038.01461083525
0.69,2038.5968478638
0.7,2039.18747657659
0.71,2039.78649904609
0.72,2040.39391730739
0.73,2041.00973342947
0.74,2041.63394947952
0.75,2042.266567523
0.76,2042.9075896236
0.77,2043.55701784325
0.78,2044.21485424211
0.79,2044.88110087857
0.8,2045.55575980924
0.81,2046.23883308897
0.820000000000001,2046.93032277082
0.830000000000001,2047.63023090607
0.840000000000001,2048.33855954424
0.850000000000001,2049.05531073302
0.860000000000001,2049.78048655411
0.870000000000001,2050.51408905165
0.880000000000001,2051.25612026798
0.890000000000001,2052.00658224365
0.900000000000001,2052.76547705321
0.910000000000001,2053.53280673362
0.920000000000001,2054.30857332002
0.930000000000001,2055.09277888157
0.940000000000001,2055.88542544981
0.950000000000001,2056.68651505448
0.960000000000001,2057.49604975932
0.970000000000001,2058.31403159043
0.980000000000001,2059.14046260795
0.990000000000001,2059.97534483435
1,2060.81868032612
1.01,2061.67047110209
1.02,2062.53071921513
1.03,2063.39942671629
1.04,2064.2765956189
1.05,2065.16222797036
1.06,2066.05632581624
1.07,2066.95889116435
1.08,2067.8699260566
1.09,2068.78943253305
1.1,2069.71741263194
1.11,2070.65386838967
1.12,2071.5988018048
1.13,2072.55221491002
1.14,2073.51410973618
1.15,2074.48448831229
1.16,2075.46335266548
1.17,2076.45070482104
1.18,2077.44654680239
1.19,2078.45088063111
1.2,2079.4637083269
1.21,2080.48503190758
1.22,2081.51485338913
1.23,2082.55317482171
1.24,2083.59999821755
1.25,2084.655325587
1.26,2085.71915893852
1.27,2086.79150027869
1.28,2087.87235164835
1.29,2088.96171505029
1.3,2090.05959248546
1.31,2091.16598598903
1.32,2092.28089755814
1.33,2093.40432918804
1.34,2094.53628290826
1.35,2095.67676071022
1.36,2096.82576461968
1.37,2097.98329662427
1.38,2099.14935874592
1.39,2100.32395296846
1.4,2101.50708131002
1.41,2102.69874575057
1.42,2103.89894830445
1.43,2105.10769098405
1.44,2106.32497576361
1.45,2107.55080465169
1.46,2108.78517965496
1.47,2110.02810277816
1.48,2111.2795759878
1.49,2112.53960128476
1.5,2113.808180668
1.51,2115.08531613455
1.52,2116.37100967952
1.53,2117.66526329607
1.54,2118.96807897542
1.55,2120.27945870686
1.56,2121.59940447774
1.57,2122.92791827346
1.58,2124.26500207746
1.59,2125.61065787125
1.6,2126.96488763436
1.61,2128.3276933444
1.62,2129.69907697699
1.63,2131.0790405058
1.64,2132.46758593903
1.65,2133.86471524641
1.66,2135.27043039573
1.67,2136.68473335279
1.68,2138.10762611796
1.69,2139.53911065308
1.7,2140.97918891806
1.71,2142.42786290733
1.72,2143.88513457684
1.73,2145.35100591708
1.74,2146.82547888002
1.75,2148.30855545222
1.76,2149.80023758164
1.77,2151.30052725089
1.78,2152.80942640394
1.79,2154.32693701943
1.8,2155.85306103733
1.81,2157.38780043228
1.82,2158.93115717692
1.83,2160.48313324191
1.84,2162.04373055919
1.85,2163.61295109542
1.86,2165.19079681523
1.87,2166.77726968126
1.88,2168.37237161741
1.89,2169.97610458228
1.9,2171.58847053247
1.91,2173.20947142256
1.92,2174.83910920512
1.93,2176.47738583069
1.94,2178.12430324779
1.95,2179.77986340291
1.96,2181.44406824052
1.97,2183.11691970307
1.98,2184.79841973094
1.99,2186.48857026251
2,2188.18737323411
2.01,2189.8948306169
2.02,2191.61094434313
2.03,2193.335716343
2.04,2195.0691485447
2.05,2196.81124291122
2.06,2198.56200136664
2.07,2200.32142583297
2.08,2202.08951826711
2.09,2203.86628058694
2.1,2205.65171470832
2.11,2207.44582258197
2.12,2209.24860611962
2.13,2211.0600672679
2.14,2212.88020793439
2.15,2214.70903006159
2.16,2216.54653558998
2.17,2218.39272642091
2.18,2220.2476044907
2.19,2222.11117169655
2.2,2223.98342997064
2.21,2225.86438124308
2.22,2227.75402744191
2.23,2229.65237045598
2.24,2231.55941220917
2.25,2233.47515462326
2.26,2235.39959961798
