Run Description:,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run date:,09-17-22-16-19-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
10,273.1494248,514.1428851,35.69751733,22,190.0550459,62324.94557,100.2545908,2.07282072,3.980008284,155,1.1,10.143,1927.72833,23.77302362,28.52762835,4.97428362,4.35290667,24087.63121,9.8,9.8,1718.28,0.231,3.324958491,3.749401939,4256.09756,3693.654687,40,11.18259574,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6408.459471,39.68,1.910390958,46,0.105,1,1
9.5,269.9050476,510.8985079,37.06434869,22,190.0550459,67372.15787,100.3079986,2.148902537,4.229574996,155,1.1,10.143,1927.72833,24.50668038,30.95580679,5.479584075,4.789596304,24588.34784,9.3,9.3,1718.28,0.231,3.324958491,3.773211901,4256.09756,3693.654687,40,11.1541354,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6460.791469,39.68,1.910390958,47,0.105,1,1
10,270.1921639,494.4780242,33.42270124,20,190.0550459,55835.00782,104.4678579,1.983679271,4.009923019,155,1.1,10.3635,1969.635468,23.14816424,27.77779708,4.639749607,4.062581294,21642.31787,9.8,9.8,1718.28,0.21,3.360905033,3.983261887,3953.2922,3430.865026,40,11.42419097,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6794.949612,39.68,1.931044433,71,0.105,1,1
9.5,266.7871018,491.0729621,34.66592887,20,190.0550459,60197.99493,104.5481799,2.05507469,4.265886582,155,1.1,10.3635,1969.635468,23.81282565,30.07935871,5.10811169,4.467213959,22084.21983,9.3,9.3,1718.28,0.21,3.360905033,4.010881518,3953.2922,3430.865026,40,11.39750265,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6856.57619,39.68,1.931044433,72,0.105,1,1
10.5,274.2987259,498.5845863,32.35704283,20,190.0550459,51907.29776,103.2782655,1.910775207,-4.12897928,155,1.1,10.3635,1969.635468,22.61147151,25.84168173,4.239898745,3.717406099,21177.05287,10.3,10.3,1718.28,0.21,3.360905033,3.95045399,3953.2922,3430.865026,40,11.4544894,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6725.065313,39.68,1.931044433,73,0.105,1,1
10,272.1225981,507.3148084,34.90765063,21,190.0550459,59973.04487,102.6053561,2.050330396,4.063227194,155,1.1,10.3635,1969.635468,23.55605856,28.26727027,4.858125977,4.252099248,23037.13468,9.8,9.8,1718.28,0.2205,3.360905033,3.88247186,4150.95681,3602.408277,40,11.2859061,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6629.770773,39.68,1.931044433,76,0.105,1,1
9.5,268.8224275,504.0146378,36.23156403,21,190.0550459,64790.92124,102.6539935,2.124701476,4.311598309,155,1.1,10.3635,1969.635468,24.2657586,30.65148454,5.350600608,4.67765799,23510.62105,9.3,9.3,1718.28,0.2205,3.360905033,3.907893383,4150.95681,3602.408277,40,11.25849673,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6686.341276,39.68,1.931044433,77,0.105,1,1
10.5,276.1345491,511.3267594,33.76921451,21,190.0550459,55621.45302,101.4818044,1.974199475,-4.067655039,155,1.1,10.3635,1969.635468,22.98072564,26.26368645,4.437588127,3.888970848,22537.94206,10.3,10.3,1718.28,0.2205,3.360905033,3.852009369,4150.95681,3602.408277,40,11.31731738,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6565.120285,39.68,1.931044433,78,0.105,1,1
11,280.8515595,516.0437698,32.79298327,21,190.0550459,51728.30675,101.0461714,1.897398465,-4.201782309,155,1.1,10.3635,1969.635468,22.51546284,24.5623231,4.075979052,3.576983792,22019.34206,10.8,10.8,1718.28,0.2205,3.360905033,3.816799239,4150.95681,3602.408277,40,11.3523332,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6493.105309,39.68,1.931044433,79,0.105,1,1
10,274.0530323,520.1515926,36.39260002,22,190.0550459,64365.73807,100.8031688,2.117339916,4.117525431,155,1.1,10.3635,1969.635468,23.96395288,28.75674346,5.076502346,4.441617201,24449.39224,9.8,9.8,1718.28,0.231,3.360905033,3.786656613,4348.62142,3773.951528,40,11.14911908,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6472.647902,39.68,1.931044433,81,0.105,1,1
9.5,270.8577532,516.9563135,37.79719919,22,190.0550459,69659.44098,100.8225664,2.194588492,4.360187409,155,1.1,10.3635,1969.635468,24.71869155,31.22361037,5.593089526,4.888102021,24954.44522,9.3,9.3,1718.28,0.231,3.360905033,3.810061733,4348.62142,3773.951528,40,11.12086679,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6524.602266,39.68,1.931044433,82,0.105,1,1
10,271.0136252,499.9404856,34.0545946,20,190.0550459,57507.7124,104.9949141,2.024328362,4.139471843,155,1.1,10.584,2011.542606,23.32173629,27.98608354,4.732675722,4.143227232,21956.9851,9.8,9.8,1718.28,0.21,3.396471156,4.023564131,4037.4048,3503.862154,40,11.39395748,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6864.739964,39.68,1.951479335,106,0.105,1,1
9.5,267.6531978,496.5800582,35.3321566,20,190.0550459,62076.28514,105.0402326,2.09680808,4.405793289,155,1.1,10.584,2011.542606,24.00556307,30.32281651,5.211298464,4.55676461,22402.64189,9.3,9.3,1718.28,0.21,3.396471156,4.050792158,4037.4048,3503.862154,40,11.36732637,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6926.080066,39.68,1.951479335,107,0.105,1,1
10.5,275.0799273,504.0067876,32.95796695,20,190.0550459,53391.38086,104.7438909,1.950141012,-4.164567468,155,1.1,10.584,2011.542606,22.76860093,26.0212582,4.324021886,3.790412375,21486.90041,10.3,10.3,1718.28,0.21,3.396471156,3.991102213,4037.4048,3503.862154,40,11.42419097,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6795.033603,39.68,1.951479335,108,0.105,1,1
10,272.9851325,513.0503928,35.57113866,21,190.0550459,61848.8807,103.1151714,2.092852096,4.191397167,155,1.1,10.584,2011.542606,23.73830921,28.48597106,4.955698397,4.336777482,23372.93234,9.8,9.8,1718.28,0.2205,3.396471156,3.920750541,4239.27504,3679.055262,40,11.25442507,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6695.971282,39.68,1.951479335,111,0.105,1,1
9.5,269.7318283,509.7970887,36.93110315,21,190.0550459,66896.1938,103.1295136,2.168344517,4.451684819,155,1.1,10.584,2011.542606,24.46813289,30.90711523,5.45894672,4.771686174,23850.49228,9.3,9.3,1718.28,0.2205,3.396471156,3.945771073,4239.27504,3679.055262,40,11.22721775,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6752.197458,39.68,1.951479335,112,0.105,1,1
10.5,276.9548105,517.0200709,34.40018484,21,190.0550459,57285.50378,102.8987785,2.015417728,-4.093915664,155,1.1,10.584,2011.542606,23.14571153,26.45224175,4.525917425,3.965627439,22868.83497,10.3,10.3,1718.28,0.2205,3.396471156,3.890647035,4239.27504,3679.055262,40,11.2857654,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6631.562979,39.68,1.951479335,113,0.105,1,1
11,281.6334976,521.6987579,33.39447413,21,190.0550459,53202.35887,101.613024,1.937194831,-4.238617685,155,1.1,10.584,2011.542606,22.66552588,24.72602824,4.156319031,3.646706852,22344.54612,10.8,10.8,1718.28,0.2205,3.396471156,3.855755021,4239.27504,3679.055262,40,11.32056113,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6559.702106,39.68,1.951479335,114,0.105,1,1
10,274.9566398,526.1603001,37.08768272,22,190.0550459,66462.67095,101.2971249,2.161771149,4.246300237,155,1.1,10.584,2011.542606,24.15488214,28.98585857,5.178721072,4.530327733,24806.68656,9.8,9.8,1718.28,0.231,3.396471156,3.823060396,4441.14528,3854.248369,40,11.11641852,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6535.518491,39.68,1.951479335,116,0.105,1,1
9.5,271.8104589,523.0141192,38.53004969,22,190.0550459,72008.20879,102.1541941,2.240118128,4.500403393,155,1.1,10.584,2011.542606,24.93070271,31.49141396,5.706594977,4.986607738,25315.71148,9.3,9.3,1718.28,0.231,3.396471156,3.846057939,4441.14528,3854.248369,40,11.08851077,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6587.078425,39.68,1.951479335,117,0.105,1,1
10.5,278.8296938,530.0333541,35.84240273,22,190.0550459,61424.86884,101.1128279,2.08115031,-4.024586561,155,1.1,10.584,2011.542606,23.52282213,26.88322529,4.727812964,4.140842502,24268.07371,10.3,10.3,1718.28,0.231,3.396471156,3.795124571,4441.14528,3854.248369,40,11.14856182,305.8554586,305.713871,22.32619423,25.72586472,16,16,10.5,3266.11,6475.958916,39.68,1.951479335,118,0.105,1,1
10,271.8350866,505.4029469,34.68648796,20,190.0550459,59221.31879,105.466083,2.064864594,4.267862132,155,1.1,10.8045,2053.449743,23.49530834,28.19437001,4.825601837,4.22387317,22267.78405,9.8,9.8,1718.28,0.21,3.431668689,4.062995191,4121.5174,3576.859282,40,11.36435475,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6933.189388,39.68,1.971702459,141,0.105,1,1
