Run Description:,please please please
Run date:,01-25-23-16-29-13
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
9.75,275.5112198487,451.749584967794,34.4896602114622,15,217.056880733945,57213.0893891111,125.392822224323,2.02684986168476,4.97150613406195,170,1.2,10.86755114265,2358.87675224023,21.6767295345514,26.6790517348325,3.760640196573,3.57442267131172,17623.7831686185,9.5,9.5,1715.04,0.1575,3.42854965589241,5.22164675017554,2974.28844547048,2815.89438624425,40,11.8434955896521,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,8887.86660215704,39.68,1.88641149897112,1,0.105,1,1
9.75,278.121370538565,465.821348164288,36.497468434435,16,217.056880733945,62719.5872108711,121.872397884833,2.11489241191391,4.98000164444298,170,1.2,10.86755114265,2358.87675224023,22.1305485405585,27.2375982037643,3.99375695041861,3.79512492347324,19178.481038193,9.5,9.5,1715.04,0.168,3.42854965589241,5.0639086455271,3172.57434183518,3003.62067866053,40,11.6786718741302,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,8629.61971883891,39.68,1.88641149897112,2,0.105,1,1
9.75,280.73152122843,479.893111360783,38.5052766574079,17,217.056880733945,68695.6127802425,119.753532536737,2.20252972147675,5.00709307436138,170,1.2,10.86755114265,2358.87675224023,22.5843675465656,27.7961446726962,4.22687370426422,4.01582717563476,20764.9204712587,9.5,9.5,1715.04,0.1785,3.42854965589241,4.91542115608079,3370.86023819988,3191.34697107681,40,11.5138514189387,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,8385.69926884707,39.68,1.88641149897112,3,0.105,1,1
9.75,283.341671918294,493.964874557278,40.5130848803807,18,217.056880733945,74987.360049054,117.718897413854,2.28827522719091,5.03961312995911,170,1.2,10.86755114265,2358.87675224023,23.0381865525728,28.354691141628,4.45999045810983,4.23652942779628,22357.3766095263,9.5,9.5,1715.04,0.189,3.42854965589241,4.77539370457141,3569.14613456458,3379.07326349309,40,11.3497887765948,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,8154.94732399389,39.68,1.88641149897112,4,0.105,1,1
9.75,285.951822608159,508.036637753772,42.5208931033535,19,217.056880733945,81814.7900185579,115.761489207685,2.37586544041348,5.07130493552044,170,1.2,10.86755114265,2358.87675224023,23.4920055585799,28.9132376105599,4.69310721195543,4.45723167995781,24000.1759759986,9.5,9.5,1715.04,0.1995,3.42854965589241,4.64312330439344,3767.43203092928,3566.79955590938,40,11.1865066477497,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,7936.34886138995,39.68,1.88641149897112,5,0.105,1,1
9.75,288.561973298024,522.108400950267,44.5287013263264,20,217.056880733945,89068.5322067285,113.875042705414,2.46375197442748,5.11476584601764,170,1.2,10.86755114265,2358.87675224023,23.945824564587,29.4717840794917,4.92622396580104,4.67793393211933,25668.8636841699,9.5,9.5,1715.04,0.21,3.42854965589241,4.51798275596971,3965.71792729398,3754.52584832566,40,11.0245796149315,335.0424836195,335.452296478959,23.9233935761628,25.2690844648219,16,16,10.5,3344.94,7728.97630071932,39.68,1.88641149897112,6,0.105,1,1
